Netlist file: vpr.lgred.net   Architecture file: vpr.small.arch.in
Array size: 17 x 17 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_63_		18	1	0	#0
i_50_		0	17	0	#1
i_64_		16	0	1	#2
i_61_		6	0	1	#3
i_62_		5	18	1	#4
i_40_		0	16	0	#5
i_30_		18	13	1	#6
i_20_		13	0	0	#7
i_9_		7	18	1	#8
i_10_		15	18	1	#9
i_7_		18	15	0	#10
i_8_		18	14	0	#11
i_5_		18	8	0	#12
i_6_		18	15	1	#13
i_27_		0	2	0	#14
i_14_		15	18	0	#15
i_3_		18	13	0	#16
i_39_		0	15	1	#17
i_28_		17	18	1	#18
i_13_		11	0	0	#19
i_4_		18	11	1	#20
i_25_		18	17	1	#21
i_12_		6	18	1	#22
i_1_		18	7	1	#23
i_26_		18	3	0	#24
i_11_		13	18	0	#25
i_2_		18	7	0	#26
i_49_		0	4	1	#27
i_23_		7	0	1	#28
i_18_		18	3	1	#29
i_24_		18	16	1	#30
i_17_		0	14	0	#31
i_0_		18	10	0	#32
i_21_		12	0	0	#33
i_16_		13	0	1	#34
i_59_		0	6	0	#35
i_22_		18	6	0	#36
i_15_		10	18	0	#37
i_58_		0	14	1	#38
i_45_		0	13	1	#39
i_32_		4	0	0	#40
i_57_		15	0	1	#41
i_46_		0	16	1	#42
i_31_		0	10	0	#43
i_56_		2	18	0	#44
i_47_		0	15	0	#45
i_34_		0	12	0	#46
i_55_		0	4	0	#47
i_48_		0	2	1	#48
i_33_		0	12	1	#49
i_19_		18	2	0	#50
i_54_		0	5	0	#51
i_41_		18	6	1	#52
i_36_		4	0	1	#53
i_60_		4	18	1	#54
i_53_		0	7	0	#55
i_42_		0	10	1	#56
i_35_		0	8	1	#57
i_52_		10	0	0	#58
i_43_		2	18	1	#59
i_38_		0	3	1	#60
i_29_		18	5	0	#61
i_51_		0	6	1	#62
i_44_		0	3	0	#63
i_37_		12	18	1	#64
out:o_1_	0	7	1	#65
out:o_19_	18	2	1	#66
out:o_2_	1	0	1	#67
out:o_0_	0	8	0	#68
out:o_29_	4	18	0	#69
out:o_60_	14	18	0	#70
out:o_39_	18	9	0	#71
out:o_38_	0	9	1	#72
out:o_25_	18	16	0	#73
out:o_12_	18	9	1	#74
out:o_37_	2	0	1	#75
out:o_26_	8	0	0	#76
out:o_11_	11	18	1	#77
out:o_50_	15	0	0	#78
out:o_36_	18	4	1	#79
out:o_27_	9	0	0	#80
out:o_14_	3	18	1	#81
out:o_35_	0	9	0	#82
out:o_28_	16	18	1	#83
out:o_13_	18	12	1	#84
out:o_34_	6	18	0	#85
out:o_21_	18	12	0	#86
out:o_16_	16	18	0	#87
out:o_40_	5	0	0	#88
out:o_33_	0	17	1	#89
out:o_22_	6	0	0	#90
out:o_15_	3	18	0	#91
out:o_32_	1	18	0	#92
out:o_23_	8	0	1	#93
out:o_18_	12	18	0	#94
out:o_31_	14	0	0	#95
out:o_24_	10	18	1	#96
out:o_17_	18	14	1	#97
out:o_56_	7	0	0	#98
out:o_43_	12	0	1	#99
out:o_30_	9	0	1	#100
out:o_55_	18	4	0	#101
out:o_44_	8	18	0	#102
out:o_58_	18	5	1	#103
out:o_41_	0	13	0	#104
out:o_57_	18	10	1	#105
out:o_42_	14	0	1	#106
out:o_20_	18	11	0	#107
out:o_52_	3	0	0	#108
out:o_47_	5	18	0	#109
out:o_51_	11	0	1	#110
out:o_48_	0	11	1	#111
out:o_54_	18	8	1	#112
out:o_45_	0	11	0	#113
out:o_10_	13	18	1	#114
out:o_53_	16	0	0	#115
out:o_46_	10	0	1	#116
out:o_61_	8	18	1	#117
out:o_9_	2	0	0	#118
out:o_62_	9	18	1	#119
out:o_63_	9	18	0	#120
out:o_49_	0	5	1	#121
out:o_7_	14	18	1	#122
out:o_64_	17	18	0	#123
out:o_8_	3	0	1	#124
out:o_5_	18	17	0	#125
out:o_59_	1	18	1	#126
out:o_6_	7	18	0	#127
out:o_3_	1	0	0	#128
out:o_4_	11	18	0	#129
o_1_		3	8	0	#130
o_19_		16	2	0	#131
o_2_		2	3	0	#132
o_0_		2	9	0	#133
o_29_		4	17	0	#134
o_60_		14	15	0	#135
o_39_		12	9	0	#136
