         ps       mem_address      mem_wdata       
          delta          mem_write                 
                        mem_byte+enable            
          0  +0          xxxx    x    x xxxx 
          0  +1          0000    0    3 0000 
    3155000  +5          00f4    1    3 01e0 
    3385000  +4          00f4    0    3 01e0 
    5225000  +5          00f6    1    3 000a 
    5455000  +4          00f6    0    3 000a 
    6515000  +5          00f8    1    3 4537 
    6745000  +4          00f8    0    3 4537 
   10205000  +5          00fa    1    3 a342 
   10435000  +4          00fa    0    3 a342 
   10715000  +5          00fc    1    3 01a1 
   10945000  +4          00fc    0    3 01a1 
   11225000  +5          00fe    1    3 fe62 
   11455000  +4          00fe    0    3 fe62 
   12005000  +5          0102    1    3 0100 
   12235000  +4          0102    0    3 0100 
   13025000  +5          0100    1    3 fe6f 
   13255000  +4          0100    0    3 fe6f 
   21365000  +5          0102    1    3 001a 
   21595000  +4          0102    0    3 001a 
   23195000  +5          0104    1    3 ff9b 
   23425000  +4          0104    0    3 ff9b 
   24515000  +5          0106    1    3 000d 
   24745000  +4          0106    0    3 000d 
   27095000  +5          0108    1    3 517a 
   27325000  +4          0108    0    3 517a 
   29435000  +5          010a    1    3 0133 
   29665000  +4          010a    0    3 0133 
   30755000  +5          010d    1    2 9000 
   30985000  +4          010d    0    3 9000 
   31265000  +5          010c    1    1 00ac 
   31495000  +4          010c    0    3 00ac 
   32285000  +5          010a    1    3 90ac 
   32515000  +4          010a    0    3 90ac 
   33065000  +5          0110    1    3 00f2 
   33295000  +4          0110    0    3 00f2 
   34325000  +5          010e    1    3 0646 
   34555000  +4          010e    0    3 0646 
   36155000  +5          00a2    1    3 126c 
   36385000  +4          00a2    0    3 126c 
   36935000  +5          0112    1    3 000c 
   37165000  +4          0112    0    3 000c 
   38495000  +5          0114    1    3 ae85 
   38725000  +4          0114    0    3 ae85 
   41885000  +5          0116    1    3 600d 
   42115000  +4          0116    0    3 600d 
   43485000  +5          0118    1    3 00d8 
   43715000  +4          0118    0    3 00d8 
