         ps               memory_wishbone.ADR            memory_wishbone.DAT_M        
          delta                                               memory_wishbone.WE      
          0  +0                           xxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x 
          0  +1                           xxX xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0 
    5305000  +3                           005 600d600d600d600d600d600d600d0030 1 
    5535000  +3                           005 600d600d600d600d600d600d600d0030 0 
    5865000  +3                           015 baadbaadbaadbaadbaad0130baadbaad 1 
    6095000  +3                           00d 52205220522052205220522000b05220 0 
    6415000  +7                           015 baadbaadbaadbaadbaad0130baadbaad 1 
    6645000  +3                           015 baadbaadbaadbaadbaad0130baadbaad 0 
    6975000  +7                           00d 52205220522052205220522000b05220 1 
    7205000  +3                           005 600d600d600d0130600d600d600d0030 0 
   11955000  +7                           003 600d600d0060600d600d600d600d60fa 1 
   12185000  +3                           003 600d600d0060600d600d600d600d60fa 0 
